"","Airline","Number_Of_Flights"
"1","Alaska Airlines Inc.",172521
"2","American Airlines Inc.",725984
"3","American Eagle Airlines Inc.",294632
"4","Atlantic Southeast Airlines",571977
"5","Delta Air Lines Inc.",875881
"6","Frontier Airlines Inc.",90836
"7","Hawaiian Airlines Inc.",76272
"8","JetBlue Airways",267048
"9","Skywest Airlines Inc.",588353
"10","Southwest Airlines Co.",1261855
"11","Spirit Air Lines",117379
"12","United Air Lines Inc.",515723
"13","US Airways Inc.",198715
"14","Virgin America",61903
